,ID,day_tomoe,theta,distance,az1[deg]_sensor,el1[deg]_sensor,az2[deg]_sensor,el2[deg]_sensor,az3[deg]_sensor,el3[deg]_sensor,az4[deg]_sensor,el4[deg]_sensor
133,586413_047,18,66.17318716,0.463179679,234.1394714,28.74542308,233.8603441,28.46589928,233.2932698,28.89883761,233.5716644,29.17961986
134,586413_057,18,1.044924526,0.147182212,234.1391565,28.74593231,233.8606097,28.46542365,233.2935635,28.89933243,233.5716909,29.17928871
135,586414_046,18,65.78894296,0.246584115,234.7449736,29.3458536,234.4623813,29.06750466,233.8951945,29.50402379,234.1774012,29.78311177
136,586414_100,18,1.114354848,0.111184594,234.7447928,29.34594538,234.4625188,29.06825598,233.8949317,29.50435113,234.1773213,29.78342156
137,586414_116,18,68.84293957,1.08190838,234.7451812,29.34526705,234.4622948,29.06763367,233.8950171,29.50373362,234.1772098,29.78326341
138,586421_111,18,12.43376847,0.200044137,233.8576139,26.8257978,233.5835735,26.54634699,233.0274067,26.98020452,233.3009165,27.26041075
139,586424_046,18,1.81653243,0.123160375,235.6677393,28.62381473,235.3854126,28.34765088,234.8251229,28.7870216,235.1072741,29.06520632
140,586426_115,18,0.956944831,0.180086382,236.9053285,29.80659225,236.6164065,29.53283252,236.055437,29.97842799,236.3451416,30.25309293
141,586432_013,18,21.11788681,0.408111516,235.3621274,26.71061347,235.0849844,26.43345124,234.5334994,26.87202649,234.809099,27.15048845
142,586434_047,18,1.281155892,0.156368962,236.5759391,27.89747476,236.2931674,27.62268585,235.7402292,28.06564186,236.0220183,28.34165748
143,586442_014,18,19.68208043,0.877453719,236.2597244,25.9840832,235.9836565,25.7069281,235.4363913,26.14881189,235.7129261,26.42475802
144,586521_062,18,17.42415184,0.250573858,234.0743257,26.65333781,233.7997454,26.37481032,233.2452673,26.80947589,233.5197351,27.08919733
145,586521_062,18,2.029203101,0.146268846,234.0743257,26.65333781,233.7997454,26.37481032,233.2452673,26.80947589,233.5197351,27.08919733
146,586521_062,18,36.12807332,1.989252121,234.0743257,26.65333781,233.7997454,26.37481032,233.2452673,26.80947589,233.5197351,27.08919733
147,586521_063,18,31.70816543,2.029620875,234.0740074,26.65302755,233.7991529,26.37469405,233.2449151,26.80921961,233.5194677,27.08893135
148,586612_016,18,51.48833335,0.364871375,233.9770447,27.79803533,233.7000288,27.51858238,233.1388212,27.95285216,233.4154752,28.23305173
149,586612_017,18,51.38581945,0.177464041,233.9777964,27.79818673,233.7000679,27.51886358,233.1395157,27.95291735,233.4155019,28.23306165
150,586613_017,18,51.18012402,0.437703105,234.5814626,28.39894951,234.302176,28.12013945,233.7390135,28.55596203,234.0183243,28.83584022
151,586626_015,18,19.09768963,3.023416472,237.3437922,29.44938913,237.0544247,29.176559,236.4976293,29.62443324,236.7878096,29.89732736
152,586642_084,18,42.91989871,3.925184709,236.6803732,25.62864875,236.4037439,25.35375763,235.8605562,25.79550744,236.1377249,26.07244072
153,586712_095,18,19.03501916,0.905093355,234.1956291,27.6251794,233.9193482,27.34597907,233.3596099,27.7820714,233.637346,28.06122423
154,586712_102,18,35.84269741,1.215071547,234.1964721,27.6250965,233.9192408,27.34626779,233.3600492,27.78200883,233.6369783,28.06144018
155,586714_103,18,0.706832543,0.041088528,235.4088566,28.82089048,235.1255618,28.54495803,234.5647271,28.98505995,234.8483622,29.2626712
156,586714_104,18,1.260216089,0.030920138,235.4088037,28.82124425,235.1252659,28.5447514,234.5647105,28.98525452,234.8477152,29.26237548
157,586715_074,18,80.18442868,4.468000736,236.0256022,29.41314961,235.7388631,29.13794197,235.1773225,29.58017501,235.4630723,29.85694333
158,586715_102,18,0.798800404,0.032903614,236.0253468,29.41316334,235.7388271,29.13795843,235.177412,29.5799219,235.4632171,29.8561385
159,586715_103,18,2.069547583,0.025727843,236.0255107,29.41314647,235.7388544,29.13816712,235.1774524,29.58007051,235.4632566,29.85642321
160,586715_104,18,2.005940841,0.015405423,236.0254111,29.41319069,235.7389688,29.13814872,235.1775947,29.58016295,235.4632021,29.85686312
161,586723_102,18,0.355752823,0.056553168,235.7086518,27.49987392,235.4284932,27.22447978,234.8742105,27.66532215,235.1561045,27.94218349
162,586723_103,18,1.415180555,0.054752639,235.7086617,27.49995581,235.4282888,27.22454652,234.8750657,27.66534782,235.155914,27.94208393
163,586723_104,18,0.252124303,0.048011075,235.7087377,27.50003729,235.4283433,27.22430102,234.8752124,27.66553252,235.1557694,27.94184033
164,586731_103,18,0.594986062,0.083293415,235.4018939,25.58619766,235.1275812,25.30939946,234.5818363,25.7483118,234.8563323,26.02652665
165,586812_047,18,68.87868463,1.979409484,234.4149356,27.4515006,234.1372972,27.17420453,233.5805678,27.61020345,233.8573742,27.88937099
166,586813_047,18,66.79303664,1.114905986,235.0202234,28.04962684,234.7403576,27.77277649,234.181707,28.21033539,234.4617186,28.48904789
167,586813_057,18,31.07923053,0.194858755,235.0200979,28.04954826,234.7405451,27.7721857,234.1813858,28.2102641,234.4614917,28.48841131
168,586815_012,18,1.198267427,0.138593151,236.2461603,29.23640183,235.9593739,28.96200523,235.4000079,29.40497356,235.6859223,29.68116335
169,586815_013,18,0.538626754,0.141991161,236.2460673,29.23634868,235.959333,28.96196703,235.4000288,29.40479544,235.6862134,29.68108829
170,586822_070,18,77.15303366,1.38506191,235.3194654,26.7272777,235.0402399,26.45252206,234.4925815,26.89420599,234.7716477,27.17076845
171,586824_012,18,1.206340316,0.125949041,236.5372682,27.91581035,236.2537207,27.64219384,235.7018326,28.08605113,235.9852836,28.36157531
172,586824_013,18,0.504513611,0.128219914,236.5373034,27.91580996,236.2537585,27.64225697,235.7022804,28.08617487,235.985558,28.36137872
173,586831_061,18,45.90284718,0.132149479,235.6132416,25.41018056,235.338547,25.13406937,234.7948447,25.574851,235.069159,25.85173134
174,586832_013,18,0.779066376,0.101826947,236.2127459,26.00548986,235.934601,25.73145258,235.3908483,26.17364503,235.668552,26.44971947
175,586841_013,18,0.748027635,0.085414627,236.4961126,24.68306741,236.2206742,24.40869771,235.6840502,24.85224566,235.9592507,25.1275769
176,586842_059,18,31.54222933,0.919552529,237.0983119,25.27182184,236.8209198,24.9968945,236.2825724,25.44346366,236.5592752,25.71676322
177,586911_016,18,2.653890702,0.035136169,234.0344465,26.67913584,233.7607347,26.40012399,233.2046162,26.83343216,233.4780924,27.11468014
178,586912_043,18,13.43837347,2.125015202,234.6320789,27.27771423,234.355097,26.99922549,233.7990307,27.43814402,234.076935,27.71578049
179,586912_119,18,0.128989398,0.119489603,234.6327887,27.27803539,234.3556693,27.00026946,233.7999648,27.43850912,234.0774717,27.71646704
180,586921_119,18,35.29000741,0.785366135,234.9336927,25.95832843,234.6576872,25.68194813,234.1112109,26.12166255,234.3867185,26.39886744
181,586922_017,18,1.867609043,0.028628404,235.5339778,26.55178295,235.2538746,26.27705493,234.708544,26.72015868,234.9877447,26.9961679
182,586933_017,18,1.182178223,0.062655704,237.031008,26.41755103,236.7505817,26.14380833,236.2076953,26.5896715,236.4887119,26.86397132
183,586942_064,18,24.6118272,1.998646447,237.3061339,25.09173527,237.0285298,24.81750727,236.4918739,25.26453023,236.7690638,25.5379813
184,587012_027,18,9.315372845,2.972885592,233.5372939,28.13900711,233.2611718,27.85890652,232.6978843,28.28904572,232.9720006,28.57050201
185,587025_024,18,38.28065231,1.433630151,236.279594,29.21291133,235.993605,28.93726996,235.4342682,29.38087956,235.7209634,29.65660541
186,587026_111,18,2.430953481,0.146081925,236.9057315,29.80394283,236.6162802,29.53069206,236.0563097,29.97593636,236.3449629,30.25000376
187,587123_014,18,48.56582462,1.435832295,235.2761434,27.84920826,234.9961798,27.57203261,234.4392039,28.0103629,234.7186954,28.28854286
188,587123_014,18,35.59488782,1.431869713,235.2761434,27.84920826,234.9961798,27.57203261,234.4392039,28.0103629,234.7186954,28.28854286
189,587133_015,18,8.133189082,1.229086993,236.1813594,27.12748369,235.9013346,26.8516699,235.3514196,27.29281764,235.6307519,27.56969294
190,587211_106,18,18.78541157,2.057057829,233.3822121,27.19269306,233.1092466,26.91211584,232.5466376,27.34131537,232.8183203,27.62439294
191,587212_063,18,17.42302367,0.637104195,233.9780556,27.7955657,233.7009742,27.51557294,233.1423749,27.95268255,233.4168761,28.23086503
192,587212_063,18,0.556551883,0.126558236,233.9780556,27.7955657,233.7009742,27.51557294,233.1423749,27.95268255,233.4168761,28.23086503
193,587221_025,18,1.061658451,0.151078211,234.2918865,26.47827901,234.0160276,26.19977054,233.4666549,26.63699421,233.7383397,26.91520657
